
    Angle  Distance(cm) CaliberatedIR
      0      27           50
      1      45           50
      2      40           50
      3      29           50
      4      27           50
      5      27           50
      6      27           50V
      7      27           38
      8      27           32
      9      27           33
     10      16           50
     11      50           50
     12       6           50
     13       5           50
     14       4           50
     15       6           50
     16      27           50
     17       6           50
     18      26           50
     19      26           50
     20      43           50
     21      43           50
     22       6           50
     23      26           50
     24       6           50
     25       5           50
     26      28           50
     27       6           50
     28      28           50
     29      28           50
     30       6           50
     31       6           50
     32       6           50
     33       6           50
     34       6           50
     35       6           50
     36       5           50
     37       5           50
     38       5           50
     39       4           50
     40       5           50
     41       5           50
     42       4           50
     43       4           50
     44       4           50
     45       5           50
     46       5           50
     47       4           50
     48       4           50
     49       5           50
     50       4           50
     51       5           50
     52       3           50
     53       5           50
     54       3           50
     55       4           50
     56       4           50
     57       4           50
     58       5           50
     59       5           50
     60       5           50
     61       4           50
     62       5           50
     63       5           50
     64       5           50
     65       4           50
     66       5           50
     67       5           50
     68       5           50
     69       5           50
     70       5           50
     71       5           50
     72       5           50
     73       7           50
     74       5           50
     75       7           50
     76      50           50
     77      47           50
     78       7           50
     79      42           50
     80      34           50
     81      34           50
     82      34           50
     83      17           50
     84       2           50
     85       8           50
     86       7           50
     87      13           50
     88      29           50
     89      50           50
     90      37           50
     91      34           50
     92      34           50
     93      29           50
     94      28           50
     95      28           50
     96      28           50
     97      28           50
     98      28           50
     99      27           50
    100      27           50
    101      27           50
    102      27           50
    103      27           50
    104      27           50
    105      27           50
    106      27           50
    107      27           40V
    108      27           34
    109      27           33
    110      27           34
    111      27           33
    112      27           33
    113      27           32
    114      27           32
    115      27           31
    116      27           31
    117      27           31
    118      26           31
    119      27           32
    120      26           32
    121      27           31
    122      27           31
    123      27           31
    124      27           31
    125      27           31
    126      27           31
    127      27           31
    128      27           32
    129      27           32
    130      27           31
    131      27           31
    132      27           31
    133      27           37^
    134      27           50
    135      27           50
    136      27           50
    137      28           50
    138      27           50
    139      27           50
    140      27           50
    141      27           50
    142      27           50
    143      27           50
    144       4           50
    145      27           50
    146      27           50
    147      50           50
    148      50           50
    149      30           50
    150      13           50
    151      50           50
    152      50           50
    153       1           50
    154      43           50
    155       5           50
    156      50           50
    157      50           50
    158      50           50
    159      50           50
    160      50           50
    161      50           50
    162      50           50
    163      50           50
    164       6           50
    165      12           50
    166      24           50
    167      25           50
    168       9           50
    169      50           50
    170      47           50
    171      42           50
    172      33           50
    173      28           50
    174      30           50
    175      28           50
    176      28           50
    177      29           50
    178      29           50
    179      31           50
    180      43           50
 Object#  Angle  Distance  Width  LinearWidth
   1      121       27       26         12
Smallest Object: 
   1      121       27       26         12
END
